No,Name,Address,Class,District,Longitude,Latitude,Pop,Envi_Fact
820,RS Budi Kemuliaan Batam,"Jl. Budi Kemuliaan No.1,Batam",,,104.030453,1.082825804,2.487765,0.833209
821,RS Awal Bros Batam,"Jl. Gajah Mada Kav.I Baloi,Batam",,,104.030453,1.045623524,0.299731,0.771595
822,RS Casa Medical Centre,"Jl. Jend. A. Yani No.8,Batam",,,104.030453,1.082825804,2.487765,0.833209
823,RS Bhakti Timah,"Jl. Canggai Putri,Tanjung Balai",,Tanjung Pinang,104.4833327,1.083334142,0.210035,0.840259
824,RS Antam Bauksit,"Jl. Kesehatan C. 36,Tg Pinang",,Tanjung Pinang,104.3341223,1.158229203,0.004362,0.796764
825,RS Santa Elisabeth Batam,"Jl. Anggrek Blok II,Lubuk Baja Batam",,Batam,104.0466039,1.087668388,0,0.847473
826,RS Harapan Bunda Batam,"Jl. Seraya No.1,Batam",,Tanjung Pinang,103.9766673,0.966942686,0,0
827,RS AL Dr Midiyato S,"Jl. Ciptadi No.1,Tanjung Pinang",3,Tanjung Pinang,104.4784054,1.091168782,0,0.855406
828,RS Lanu Ranai,Natuna Kab.Kepulauan Riau,4,Tanjung Pinang,108.1428679,3.945648944,0,0.088622
829,RS Otorita Batam,"Jl. Dr. Cipto Mangunkusumo Sekupang,Batam",B,,103.9543094,1.087186805,0,0.745671
830,RSU Kab. Karimun,"Jl. Soekarno - Hatta, Tg Balai Karimun",C,Karimun,103.4500341,0.90769907,0.026981,0
831,RSU Tanjung Uban,"Jl. Indun Suri-Simpang Busung No.1,Kepulauan Riau",C,,108.1428679,3.945648944,0,0.088622
832,RSU Lapangan Lingga,Jl. Masjid Sultan Kab.Lingga,C,,104.6745434,-0.160130778,0,0.749199
833,RSUD Natuna,"Jl. H.Ali Murtopo,Natuna",C,Natuna,108.1428679,3.945648944,0,0.088622
834,RSU Daerah Kota Batam,Jl. Bringjen Katamso,C,Tanjung Pinang,103.9531813,1.08631728,0.119892,0.745671
835,RSUD Dabo,"Jl. Kesehatan No.1, Dabo Singkep",D,Lingga,104.4814019,-0.553579559,0,0.764124
836,RS Banua Mamase,"Mamasa, Kab.Polmas",,Mamasa,119.3778762,-2.941450469,1.386748,0.870776
837,RSU Polewali,Jl. Dr Ratulangi 50 Polewali,C,Polewali Mandar,119.2204655,-3.388600204,0.111891,0.569168
838,RSU Majene,"Jl. Poros Majene, Mamuju",C,Majene,118.9062772,-3.029722833,0,0.069373
839,RSU Mamuju Utara,"Jl. Bukit Husada - Ako No. 10, Pasangakayu",D,Mamuju Utara,119.3814346,-1.341565143,0.102904,0.083291
840,RSUD Mamuju,Jl. Kurungan Bassi Mamuju,D,Mamuju,118.8621143,-2.699187509,0.332499,0.596849
841,RS Islam Sitti Maryam,Jl. Pogindo Raya No.110 Tuminting Manado,,Manado,124.8454609,1.470887992,0.243233,0.400451
842,RS Monompia,"Jl. A. Yani No.720,Kotamobagu Utara",,Bolaang Mengondow,124.3120543,0.739657846,2.833022,0.444955
843,RS Piveri,Jl. Raya Kawangkoan Minahasa,,Minahasa,124.8182559,1.153391078,0.083445,0.510056
844,RS Siloam GMIM Sonder,Kolongan Atas Sonder Minahasa,,Minahasa,124.8182559,1.153391078,0.083445,0.510056
845,RS Gunung Maria,Jl. Sejahtera No. 282 Tomohon,,Minahasa,124.82795,1.32456705,0.552145,0.208226
846,RS Hermina,Lembean Minahasa,,Minahasa,124.9161109,1.206387495,0,0.295245
847,RS Budi Setia,Kayowas Jaga I Langowan Barat Minahasa,,Minahasa,124.8378849,0.152231712,1.994857,0.005031
848,RS Cantia Tamposabaru,Tompasobaru Minahasa,,Minahasa,124.4730368,0.884453776,0.464271,0.127981
849,RS Tonsea,Airmadidi Kab Minahasa,,Minahasa,124.9593954,1.402489841,0.065684,0.669306
850,RS Kalooran,Buyungan Amurang Minahasa,,Minahasa,124.5692954,1.180341885,1.150584,0.072919
851,RS Pancaran Kasih,Jl. Dr. Sam Ratulangi XIII,,Manado,124.8359987,1.478967883,2.239458,0.495218
852,RS Permata Bunda,"Jl. Pingkan Matindas, Dendengan dalam,Manado",,Manado,124.8410018,1.493063101,2.593057,0
853,RS Advent Manado,"Jl. 14 Februari Telling Atas,Manado",,Manado,124.8537771,1.465019815,2.368039,0.449762
854,RS TK.Teling Manado,"Jl. 14 Februari Telling Atas,Manado",3,Manado,124.8509991,1.465019815,2.368039,0.400451
855,RS Bhayangkara Manado,"Jl. Sam Ratulangi No.154,Manado",4,Manado,124.837225,1.455312352,2.485905,0.502693
856,RS AL Bitung,Jl. Yos Sudarso No. 26 Bitung,4,Bitung,125.1863681,1.444918187,1.476769,0.714317
857,RSU Prof.Dr. R.D Kandou Manado,"Jl. Raya Tanawangko No.56, Manado",B,Manado,124.8410018,1.493098774,2.593057,0
858,RSU Datoe Binangkang,Jl. Ade Irma Kotamubagu,C,Bolaang Mengondow,124.3120543,0.739657846,2.833022,0.444955
859,RSU Dr.Sam Ratulangi,Noogan Langowan Kab Minahasa,C,Minahasa,124.8182559,1.153391078,0.083445,0.510056
860,RS Bethesda GMIM Tomohon,Jl. Raya Tomohon,C,Minahasa,124.82795,1.32456705,0.552145,0.208226
861,RSU Bitung,Jl. SH Sarundayang Kota Bitung,C,Bitung,125.204695,1.455352484,1.582252,0.807467
862,RSU Noongan,Jl.Raya Noongan Langowan Barat,D,Minahasa,124.5833327,0.999998002,0.073901,0.538691
863,RS Bergerak Kab.Kep.Sitaro,"Kampung Sawang Kec, Siau timur selatan",D,Siau Tagulandang Biaro,123.9750043,0.624693303,0,0.052561
864,RSUD Kota Kotamobagu,Kelurahan Pobundayan Kecamatan Kotamobagu Selatan,D,Kotamobagu,124.3089151,0.734338139,2.322149,0.439299
865,RSU Ratatotok - Buyat,Dr. Vally Ch. H. Ratulangi (Plh),D,Pemkab Minahasa Tenggara,124.846977,1.180310672,0.404187,0.040699
866,RSUD Maria Walanda Maramis,Jl. Prof. Arnold Mononutu - Kel.Sarongsong II - Airmadidi,D,Minahasa Utara,124.9725631,1.410409204,0.299225,0.735314
867,RS Bergerak Kab.Kep.Talaud,,D,Kepulauan Talaud,126.7679979,4.0920011,0,0.778392
868,RS Budi Mulia Bitung,Jl. Sam Ratulangi X/9A Bitung,Madya,Bitung,125.204695,1.455334647,1.582252,0.807467
869,RS Restu Ibu,"Jl. Proklamasi No.31,Padang",,Padang,116.8370046,-1.271436861,3.194885,0.926463
870,RS Yos Sudarso,"Jl. Situjuh No. 1,Padang",,Padang,100.3619996,-0.936246234,3.669921,0.855445
871,RS Aisyiah Muhammadiyah,"Jl. H.A Salim No.6,Padang",,Padang,100.3691253,-0.945628183,3.718423,0.844876
872,RS Selaguri,"Jl. A.Yani No.26,Padang",,Padang,100.3580935,-0.942801113,3.750757,0.855445
873,RS Selasih,"Jl. Khatib Sulaiman 72,Padang",,Padang,100.3585617,-0.915007536,3.783091,0.830107
874,Rumkit Tk III Reksodiwiryo Padang,"Jl. Dr Wahidin No.1,Padang",3,Padang,100.3717874,-0.950635754,3.718423,0.844876
875,RS Bhayangkara Sumbar,Jl. Jati No.I Padang,4,Padang,100.3668378,-0.929312332,3.669921,0.851282
876,Rumkit Tk IV Bukit Tinggi,"Jl. Jen Sudirman 37,Bukittinggi",4,Bukittinggi,100.3747393,-0.316506993,0.651376,0.846318
877,RSU Dr. M.Jamil,Jl. Perintis Kemerdekaan Padang,B,Padang,100.36278,-0.888377785,3.766924,0.832913
878,RSU Dr. Achmad Mochtar,Jl. Dr. A.Rivai Bukittinggi,B,Bukittinggi,100.3660663,-0.299722936,1.585344,0.873658
879,RSUD Dr. Muhammad Zein Painan,Jl. Dr A Rivai Painan,C,Pesisir Selatan,104.0062312,-5.297033028,0.074769,0.943405
880,RSUD dr. Rasidin Padang,"Sei.Sapih Kec.Kuranji,Padang",C,Padang,100.3801615,0.904912131,0,0.985738
881,RSU Sungai Dareh,"Jl. LTS Sumatera KM 2, P. Punjung",C,Dharmas Raya,101.4516612,-0.930275498,0.032582,0.800336
882,RS Ibnu Sina Bukittinggi,"Jl. Belakang Balok,Bukittinggi",C,Bukittinggi,100.3834791,-0.266948544,1.198595,0.751965
883,RSUD Dr Adnaan WD,"Jl. AIS Nasution 25,Payakumbuh",C,Payakumbuh,100.6333315,-0.233331381,1.291484,0.804614
884,RSU Sawah Lunto,"Jl. Kartini No.18,Sawah Lunto",C,Sawah Lunto,100.7833312,-0.666666821,0.015534,0.739086
885,RSU Lubuk Basung,"Jl. M.Hatta Padang Baru,Lubuk Basung",C,Agam,100.1724923,-0.254547784,0.025797,0.947367
886,RSUD Kep. Mentawai,Jl. Raya Tuapejat KM.9 - Sipora Utara,C,Mentawai,99.59104781,-2.061023262,0.103014,0
887,"RSUD Arosuka,Solok","Jl. Lintas Sumatera Aro Suka Solok,Kab.Solok",C,Solok,100.6444034,-0.803026131,0.147629,0.934968
888,RSU Prof Dr M.A Hanafiah,Jl. Bundo Kandung Batusangkar,C,Tanah Datar,100.5905999,-0.459639677,0.564914,0.818986
889,RSU Pariaman,"Jl. Prof M Yamin SH,Pariaman",C,Padang Pariaman,100.1306481,-0.626976363,0.590648,0.862247
890,RSU Lubuk Sikaping,"Jl. Jen Sudirman No.33,Lubuk Sikaping",C,Pasaman,100.16843,-0.135596804,0.109637,0.946054
891,RSUD Pasaman Barat,Pemkab. Pasaman Barat,C,Pasaman Barat,99.81815874,0.04568349,1.063708,0.098243
892,RS Islam IIbnu Sina,"Jl. Gajah Mada,Padang",C,Padang,100.3673728,-0.92074194,3.201077,0.831404
893,RSUD Solok,"Jl. Simpang Rumbio,Solok",C,Sawah Lunto,101.0468596,-1.47699696,0.046138,0.902541
894,RSU Padang Panjang,"Jl. KHA Dahlan 5,Pdg Panjang",C,Padang Panjang,100.4169714,-0.448875408,0.344241,0.746075
895,RS Ibnu Sina Padang Panjang,"Jl. Sukarno. Hatta,Padang Panjang",D,Sumbawa Barat,100.4004906,-0.460906062,1.635147,0.815951
896,RS Islam Ibnu Sina,Ds.Simpang Ampat Kab.Pasaman,D,Pasaman,99.8202679,0.070926461,0.485381,0.982899
897,RSU Muara Labuh,"Jl. Raya Km.1,Muara Labuh Solok",D,Solok,101.046592,-1.30249004,0,0.699228
898,RSU Suliki,"Jl. Tan Malaka No.1, Kec.Suliki",D,Limapuluh Kota,100.3646528,-0.945712906,3.880093,0.844876
899,RSU Sundari,"Jl. Jend. T.B.Simatupang No.31,Medan",,Kota Medan,98.67559882,3.585242102,4.472114,0.391668
900,RS Grand Medistra,Jl. Medan No.66 Desa Petapahan,,,98.85564394,3.552110981,0.089999,0.597972
901,RSU Inanta,"Jl. Sisingamangaraja No.85/87, Padang Sidempuan",,,99.27487079,1.38806019,1.740401,0.772576
902,RS Efarina Etaham,"Jl. Djamin Ginting, Berastagi - Desa Raya, Kab. Karo",,Karo,98.28135186,3.110312167,0.489858,0.911605
903,RS Full Bethesda,"Jl. Binjai Km.10,8/Jl. Sama No.71, Medan",,Medan,98.62307953,3.591248511,4.532822,0.359413
904,RSU Morawa Utama,"Jl. Medan Tanjung Morawa Km.18,5, Tanjung Morawa - Deli Serdang",,Deli-Serdang,98.9245326,3.458072999,0.103344,0.839038
905,RS Rahmad Hidayah,"Jl. Limau Manis Pasar XIII No.61, Desa Limau Manis, Tanjung Morawa",,Tanjung Morawa,98.79394336,3.525713103,1.479984,0.352269
906,RSU &quot; Insani &quot;,Jl. Perniagaan No.36 Kel.Stabat Baru Kec.Stabat Kabupaten Langkat,,Langkat,98.20746456,3.760065618,0,0.093384
907,RSU Melati,"Jl. Deli No.115 Perbaungan, Serdang Begadai",,Serdang,98.6785017,3.599859035,4.755416,0.407805
908,RS YY Kesehatan Samosir,"Nainggolan Samosir, Kab.Tapanuli Utara",,Tapanuli Utara,98.88208195,3.436733739,0.265076,0.758952
909,RSU HKBP Nainggolan,"Nainggolan,Kab.Tapanuli Utara",,Tapanuli Utara,98.88374966,2.43434812,0,0.758952
910,RS PTP III Indrya Husada,Membang Muda Labuhan Batu,,Labuhan Batu,99.66085949,2.552211079,0.371806,0.940533
911,RS PTP VI Ajamu,Kebun Ajamu Labuhan Bilik,,Labuhan Batu,100.1672484,2.520101092,0.586307,0.084445
912,RS Sri Torgamba,"Torgamba Aek Batu,Labuhan Batu",,Labuhan Batu,100.2297382,1.76871581,0.099195,0.959368
913,RS Ibu Kartini,Jl. Sekh Silau Rengas Kisaran,,Asahan,99.62206532,2.981060664,1.233806,0.629239
914,RS PTP VI Negaga,Bandar Pulau Kab.Asahan,,Asahan,99.47124514,2.613537096,0.294215,0.893482
915,RS PT Inalum,"Tanjung Gading, Kab.Asahan",,Asahan,99.6341361,2.817474082,0.104399,0.674225
916,RS PTP VIII Balimbingan,Balimbingan Pematang Siantar,,Simalungun,99.16668408,2.88643408,0.693853,0.959717
917,RS PTP IV Laras,Serbalawan Kab.Simalungun,,Simalungun,99.14807625,3.133842843,0.745523,0.926807
918,RS Bridgestone Sumatera Rubber Estate,"Dolok Marangir,Kab.Simalungun",,Simalungun,99.14717105,3.133071419,0.745523,0.925596
919,RS Serasi Kabanjahe,"Jl. L.R.Perangin-Angin No.34,Kabanjahe",,Karo,98.4546682,3.135399069,0.803045,0.866169
920,RS Ester,"Jl. Veteran No.21,Kabanjahe",,Karo,98.65644252,3.663793626,4.451879,0.418659
921,RS Malem Ras,"Kabanjahe,Kab.Karo",,Karo,"98.4561084899859,",3.139269569,0.610314,0.866169
922,RS PTPN III Patumbukan,Kec Galang Kab.Deli Serdang,,Deli Serdang,98.68189507,3.493794857,0.189998,0.670854
923,RSU Anirma,Jl. Teratai Baru Gg. Amal No. 95 Deli Tua,,Deli Serdang,98.68066436,3.577469889,5.079189,0.464056
924,RS Sari Mutiara Lubuk Pakam,"Jl. Medan No.17,Lubuk Pakam",,Deli Serdang,"98.6891678656453,",3.617204938,4.998246,0.498304
925,RS Horas,"Jl. Bakaran Batu No.61,Lb Pakam Sumut",,Deli Serdang,98.69524562,3.58346292,5.160132,0.404716
926,RS Halvetia,Jl. Kapt Sumars No.Deli Serdang,,Deli Serdang,98.64999912,3.615555071,4.168577,0.607141
927,RSU Sinar Husni,"Jl. Veteran Gg.Utama Psr.V Helvetia,Deli Serdang",,Deli Serdang,98.90771287,3.45474205,0.143091,0.748847
928,RS PTP II Tg Selamat,Padang Tualang Langkat,,Langkat,98.34815811,3.815465489,0.074233,0.078005
929,RS Pertamina P Brandan,Jl. Lhok Sukon Puraka P Brandan,,Langkat,98.29260663,4.00832161,1.270209,0.518129
930,RS Islam Al Karim,"Jl. Makam No.17,Tanjung Balai",,Tanjung Balai,99.83525048,3.037338978,0.028472,0.048305
931,RS Harapan,"Jl. Farel Pasaribu 21,P.Siantar",,Pematang Siantar,99.10922856,2.966006739,1.262223,0.906659
932,RS Humanitas,"Jl. Asahan 105,Pematang Siantar",,Pematang Siantar,99.06454837,2.9569726,0.035343,0.897442
933,RS Manuela,"Jl. Sisingamangaraja,P.Siantar",,Pematang Siantar,99.0659084,2.953440992,0.035343,0.899583
934,RS Kasih Sayang,"Jl. Jawa No.61,Pematang Siantar",,Pematang Siantar,"99.0540159729393,",2.961659115,3.487796,0.904827
935,RS Mina Padi,"Jl. Medan KM.10,Pematang Siantar",,Pematang Siantar,99.08147066,2.988262112,2.666226,0.864891
936,RS Horas Insani,"Jl. Medan Km.2,5,Pematang Siantar",,Pematang Siantar,"99.0803648010641,",2.986148498,2.666226,0.864891
937,RS PTPN III Sri Pamela,Jl. Jend Sudirman Tebing Tinggi,,Tebing Tinggi,99.14944074,3.320286776,4.569104,0.482569
938,RS Herna Tebing Tinggi,"Jl. Balai Kota No.2,Tebing Tinggi",,Tebing Tinggi,99.3853361,3.170759741,0.295505,0.579484
939,RS PTP IX Tembakau,"Jl. Putri Hijau No.15, Medan",,Medan,98.6738999,3.597830144,4.755416,0.516292
940,RS Deli,"Jl. Merbabu No.18,Medan",,Medan,98.65758405,3.580814214,4.957774,0.414721
941,RS Santa Elisabeth Medan,"Jl. Haji Misbah No.7,Medan",,Medan,"98.6766021188767,",3.575289388,0.449235,0.464056
942,RS Herna,"Jl. Majapahit 118 A,Medan",,Medan,98.66580218,3.579788621,5.058953,0.414721
943,RS Advent Medan,"Jl. Gatot Subroto Km.4,Medan",,Medan,98.64739947,3.589999963,5.038717,0.541146
944,RS Dewi Maya,"Jl. Surakarta No.2,Medan",,Medan,98.68515467,3.586941019,4.937538,0.388625
945,RS Methodist,"Jl. Teuku Umar No.9-11,Medan",,Medan,98.69290013,3.583788435,5.160132,0.388625
946,RS Materna,"Jl. Teuku Umar 9-11,Medan",,Medan,98.66899935,3.584479596,4.957774,0.400283
947,RS Islam Malahayati,"Jl. Diponegoro No.4,Medan",,Medan,98.67259785,3.586718064,4.472114,0.400283
948,RS Glugur,"Jl. Glugur No.140-142,Medan",,Medan,98.66907516,3.591667666,4.957774,0.400283
949,RS Ellyah,"Jl. Gedung Arca 49,Medan",,Medan,98.69561573,3.567526093,4.856595,0.410399
950,RS Sama Ria,"Jl. Sumatera 88 Belawan,Medan",,Medan,98.69051006,3.785081175,0.261042,0
951,RSU Vina Estetica,"Jl. Sultan Iskandar Muda No.119,Medan",,Medan,98.66129402,3.587061415,4.937538,0.409969
952,RS Helvetia,"Jl. Kapten Sumarsono No.107,Helvetia Medan",,Medan,"98.6497137395244,",0.615367789,4.168577,0.607141
953,RS Hisarma,"Jl. Gatot Subroto 108,Medan",,Medan,98.64199058,3.591030015,4.674473,0.541146
954,RS Sari Cipta,"Jl. Medan Belawan Km.16,3,Medan",,Medan,98.66346561,3.653921176,4.472114,0.468132
955,RSU Mitra Medika,"Jl. K.L. Yos Sudarso Km 7,5 Tanjung Mulia,Medan",,Medan,"98.6658066352263,",3.63738683,4.431643,0.684477
956,RS Bhakti,"Jl. HM Joni No.64,Medan",,Medan,"98.6970114243983,",3.568765723,4.856595,0.410399
957,RS Pel Belawan I Bahagia,"Jl. Stasiun No.92, Belawan Medan",,Medan,98.681467,3.772270177,2.954429,0
958,RS Imelda,"Jl. Bilal No.24 Pulo Brayan Darat,Medan",,Medan,"98.6839462583117,",3.62275206,4.998246,0.498304
959,RS Melati,"Jl. Timor No.27 D,Medan",,Medan,98.68053951,3.595890435,5.018481,0.407805
960,RS Renata Sakti,"Jl. Pesantren S Sekambing,Medan",,Medan,98.63687599,3.587895267,4.674473,0.046692
961,RS Bina Sejahtera,"Jl. Simpang Kantor No.6, Medan Labuhan",,Medan,98.67812713,3.723469775,4.330464,0.360432
962,RS Alqadri,"Jl. Binjai Km.7 No.237,Medan",,Medan,98.62307953,3.591248511,4.532822,0.359413
963,RS Permata Bunda,"Jl. Sisingamangaraja No.17,Medan",,Medan,98.68578341,3.580747328,5.079189,0.039965
964,RSU Martondi,"Jl. Letda Sujono No.80-82,Medan",,Medan,"98.6048016737141,",3.40494281,0.129999,0.941942
965,RSU Sarah,"Jl. Baja Raya No.10,Medan",,Medan,98.66357263,3.587734739,4.957774,0.409969
966,RS Bina Persada Medan,"Jl. Letjen Djamin Ginting,Medan",,Medan,"98.6153563659076,",3.552490005,2.934193,0.312359
967,RS Bandung,Jl. Mistar Medan,,Medan,98.64572284,3.590896242,5.038717,0.541146
968,RS Bahagia Medan,"Jl. Bahagia 85 Ds.Teladan,Medan",,Medan,98.70297324,3.562986728,5.139896,0.546324
969,RS Estomihi,"Jl. Sisinga Mangaraja 235,Medan",,Medan,"98.693314829625,3",3.561140661,4.836359,0.339028
970,RS Sufina Aziz,"Jl. Karya Baru No.1,Medan",,Medan,98.71134298,3.590356691,0.511966,0.435868
971,RS PTP IX Bangkatan,Jl. Hasanuddin Binjai,,Binjai,98.485708,3.600425341,3.261764,0.757089
972,RS Serasi Malem Binjai,"Jl. Imam Bonjol No.205,Binjai",,Binjai,"98.6745999825037,",3.572101131,0.449235,0.322506
973,RSU Siti Hajar,"Jl. Letjend Jamin Ginting No.2, Medan",0,,98.6262009,3.53936687,4.472114,0.322137
974,Rumkit Tk II Putri Hijau Medan,"Jl. Putri Hijau 17,Medan",2,Medan,"98.6756344939481,",3.595756662,4.755416,0.407805
975,Rumkit Bhayankara Medan,"Jl. KH Wahid Hasyim No.1, Medan",2,Medan,"98.6584981685997,",3.57260055,4.836359,0.354227
976,RS AL Belawan,"Jl. Bengkalis Belawan No.1,Medan",3,Medan,98.68431636,3.783681017,2.913957,0.079876
977,Rumkit Tk IV 01.07.02 Binjai,"Jl. Bandung No.4,Binjai",3,Binjai,98.50709831,3.699319284,1.469984,0.687709
978,Rumkitban Sibolga,"Jl. Anggrek No.6,Sibolga",4,Tapanuli Tengah,98.86800903,1.679917272,0.078471,0.984681
979,Rumkit Tk IV Pematang Siantar,"Jl. Gn Simanuk Manuk,P Siantar",4,Pematang Siantar,99.07056816,2.959893311,3.859827,0.897442
980,RS Lanu Dr ABD Malik,"Jl. Imam Bonjol No.1,Medan",4,Medan,"98.6767537283125,",3.579529993,4.593529,0.464056
981,RS Tingkat IV 01.07.03,"Jl. Raya Losung Batu,Padang Sidempuan",4,Padang Sidempuan,98.67581286,3.596055422,4.755416,0.407805
982,RSU H Adam Malik,"Jl. Bunga Lau No.17,Medan",A,Medan,98.61029975,3.518899596,3.290508,0.477144
983,RSU Dr.RM Joelham Binjai,"Jl. Sultan Hasanuddin 9,Binjai",B,,98.485708,3.600425341,3.261764,0.757089
984,RS Gleneagles Medan,"Jl. Listrik No.2A,Medan",B,Kota Medan,98.67649956,3.586080413,4.472114,0.391668
985,RSU Dr Pirngadi,"Jl. Prof H M Yamin SH 47, Medan",B,Kota Medan,"98.6884009002641,",3.598119986,5.018481,0.406465
986,RSUD.Dr. H.Kumpulan Pane,Jl. Dr. K. Pane Tebing Tinggi,B,Tebing Tinggi,99.15222321,3.319444006,4.569104,0.300153
987,RS Sari Mutiara,"Jl. Kapten Muslim 79,Medan",B,Medan,98.6447463,3.597981754,5.038717,0.541324
988,RSU Padang Sidempuan,"Jl. Dr. F.L. Tobing,Pd Sidempuan",B,Tapanuli Selatan,99.18521164,1.419354161,0.220304,0.083977
989,RSU Tarutung,Jl. Bin Harun Said Tarutung,B,Tapanuli Utara,98.95858229,2.034268655,0.041299,0.760756
990,RSU Rantau Prapat,Jl. KH Dewantara Rantau Prapat,B,Labuhan Batu,99.62639956,1.509160456,1.223011,0.924385
991,RSU Dr Fl Tobing Sibolga,"Jl. Dr. FL. Tobing 35,Sibolga",B,Tapanuli Tengah,98.82294536,1.700821538,1.280237,0.986348
992,RSUD.Dr. Djasaman Saragih,"Jl. Sutomo No. 230,P Siantar",B,Pematang Siantar,99.06962729,2.958631385,3.859827,0.897442
993,RS Martha Friska,"Jl. Yos Sudarso Km.6 No. 91,Medan",B,Medan,98.66532059,3.68307032,4.026927,0.648727
994,RSU Kabanjahe,"Jl. KS.Ketaren 8, Kabanjahe",C,Karo,"98.4546325275372,",3.138565031,0.803045,0.866169
995,RSU Permata Madina,Jl. Merdeka No. 155 Panyabungan,C,Mandailing Natal,99.40992358,0.792181598,0,0.851795
996,RSUD Natal,"Jl. Multatuli No. 72,Kab.Mandailing Natal",C,Mandailing Natal,"99.1349040660488,",0.840223952,0,0.981211
997,RSU Gunung Sitoli,"Jl. Cipto M Kusumo,Gn Sitoli",C,Nias,97.62296559,1.273198206,0.717489,0.748298
998,RSU Panyabungan,"Jl. Merdeka No.40,Panyabungan",C,Tapanuli Selatan,"99.5614081636088,",0.854533208,2.435736,0.967683
999,RSU Sipirok,"Jl. RSU No.1,Sipirok Tapsel",C,Tapanuli Selatan,99.28776205,1.630233968,0,0.742851
1000,RSUD Gunung Tua,Kab.Tapanuli Selatan,C,Tapanuli Selatan,99.73724835,1.348142317,0.143043,0.967453
1001,RSUD Sibuhuan,Kec.Burumun Kab.Tap.Sel,C,Tapanuli Selatan,99.79164493,1.052954286,0.181188,0.971524
1002,RSUD Pandan,"Jl. Imam Bonjol,Kab.Tapanuli Tengah",C,Tapanuli Tengah,98.82307021,1.682026427,2.680016,0
1003,RSU Dr Hadrianus Sinaga,Jl. Dr Hadrianus S Pangururan,C,Tapanuli Utara,98.70405234,2.601399423,0.556659,0.844208
1004,RSU Porsea,"Jl. Parparean Porsea Kab,Taput",C,Tapanuli Utara,99.10911708,2.340145151,0.223238,0.764692
1005,RS HKBP Balige,"Jl. Gereja No.17,Balige",C,Tapanuli Utara,99.08331227,2.33330489,0.334857,0.775015
1006,"RSU H.Abd.Manan Simatupang, Kisaran",Jl. Sisingamangaraja Kisaran,C,Asahan,99.85359522,2.078779402,1.140634,0.731196
1007,RSUD Simalungun,Kabupaten Simalungun,C,Simalungun,99.06923043,2.957975898,3.859827,0.897442
1008,RSU Sidikalang,"Jl. Rumah Sakit 19,Sidikalang",C,Dairi,"98.3099614529592,",2.752295402,1.497963,0.880265
1009,RS Sembiring,"Jl. Besar No.77, Deli Tua",C,Deli Serdang,"98.681801430705,3",4.90348E+13,0.189998,0.722485
1010,RS Nur Saadah,"Tanjung Morawa Km.12,Deli Serdang",C,Deli Serdang,98.71470068,3.568029972,4.998246,0.545536
1011,RSUD Sultan Sulaiman Syariful Alamsyah,Kabupaten Serdang Bedagai,C,Deli Serdang,99.12101843,3.492604277,0.113678,0.744117
1012,RSU Tanjung Pura,Jl. Khairil Anwar Tanjung Pura,C,Langkat,98.41587402,3.899599808,0.767074,0.726578
1013,BPRSU Dr. Tengku Mansyur,Jl. Mayjen Sutoyo Tanjung Balai,C,Tanjung Balai,99.79491345,3.048816704,0.142362,0.486325
1014,RSU Mitra Sejati,Jl. Jend.AH Nasution No.7 Pangkalan Masyhur Medan,C,Medan,98.67966998,3.540851751,0.449235,0.323766
1015,RS Prof.Dr. Boloni,"Jl. Monginsidi No.11,Medan",C,Medan,98.66867384,3.57101311,4.532822,0.322506
1016,RSU Haji Medan,"Jl. RS. Haji Medan Estate,Medan",C,Medan,98.68880222,3.578548991,5.079189,0.039965
1017,RSU Muhammadiyah Sumatera Utara,"Jl. Mandala By Pass No.27,Medan",C,Medan,98.71139648,3.58981268,0.511966,0.435868
1018,RSUD Lukas Hilisimaetano,Kabupaten Nias Selatan,D,Nias Selatan,98.74811718,-1.122097107,0,0.834322
1019,RSU Artha Medica,Binjai Sumatera Utara,D,,98.48027682,3.598610487,3.161623,0.757089
1020,RSU Delia,Jl. K.H. Dewantara No.24 Kec. Selesai Kabupaten Langkat,D,Langkat,98.41843355,3.570620709,0.098977,0.975546
1021,RS Delima Medan,"Jl.Kl. Yos Sudarso Km.13,6 No.19 A, Medan - Martubung",D,,98.67308389,3.696554641,0.410787,0.440792
1022,RSU Trianda,"Jl. Medan - Tebing Tinggi Km.42,5 No.752 B Ds.Bengkel Kec. Perbaungan Serdang B More ...",D,Serdang,99.00759227,3.561087151,0.787002,0.520208
1023,RSU Dolok Sanggul,Jl. Kesehatan Dolok Sanngul,D,Tapanuli Utara,98.75268776,2.259582572,0.656609,0.733525
1024,RS Medika Stania,"Jl. Jend. Sudirman No.3,Sungailiat",,Bangka,106.0970011,-1.875801122,0.686416,0.921638
1025,RS Almah,Jl. Raya Air Kenanga Kec. Sungailiat Kab. Bangka,A,,106.0970011,-1.875801122,0.686416,0.921638
1026,RSU Bakti Timah,"Jl. Bukit Baru No.1,Pangkal Pinang",C,Bangka,106.134569,-2.230790157,0.009631,0.931458
1027,RSU Sungai Liat,"Jl. Jend Sudirman 195,Sungailiat",C,Bangka,106.1386892,-1.883305789,0.319883,0
1028,RSUD Kabupaten Belitung,"Jl. Melati Tajung Pandan,Kab.Belitung",C,Belitung,107.9555678,-2.857610451,0.054134,0.906662
1029,RSUD Depati Hamzah,"Jl. Soekarno Hatta,Pk Pinang",C,Pangkal Pinang,106.1346092,-2.230803534,0.009631,0.931458
